name,frequency,percentage,ranking,gender,year
83,Eleonora,2530.0,0.98,17.0,F,2002.0
7,Federico,4383.0,1.61,15.0,M,2002.0
33,Filippo,3888.0,1.43,18.0,M,2002.0
61,Alessandra,2077.0,0.8,23.0,F,2002.0
9,Leonardo,3487.0,1.28,19.0,M,2002.0
84,Beatrice,2383.0,0.92,19.0,F,2002.0
34,Daniele,3429.0,1.26,20.0,M,2002.0
10,Michele,3243.0,1.19,21.0,M,2002.0
85,Laura,2237.0,0.86,21.0,F,2002.0
60,Arianna,2341.0,0.9,21.0,F,2002.0
35,Samuele,3003.0,1.11,22.0,M,2002.0
11,Tommaso,2759.0,1.02,23.0,M,2002.0
86,Marta,1967.0,0.76,23.0,F,2002.0
81,Aurora,3326.0,1.29,13.0,F,2002.0
59,Ilaria,2386.0,0.92,19.0,F,2002.0
6,Riccardo,4780.0,1.76,13.0,M,2002.0
78,Sofia,4194.0,1.62,7.0,F,2002.0
55,Elisa,3785.0,1.46,11.0,F,2002.0
36,Emanuele,2689.0,0.99,24.0,M,2002.0
0,Francesco,10284.0,3.79,1.0,M,2002.0
50,Martina,9173.0,3.54,1.0,F,2002.0
75,Giulia,8812.0,3.41,1.0,F,2002.0
25,Andrea,9467.0,3.49,2.0,M,2002.0
76,Chiara,7524.0,2.91,3.0,F,2002.0
51,Sara,8053.0,3.11,3.0,F,2002.0
1,Alessandro,9230.0,3.4,3.0,M,2002.0
26,Matteo,8929.0,3.29,4.0,M,2002.0
77,Francesca,6378.0,2.46,5.0,F,2002.0
30,Giuseppe,4919.0,1.81,12.0,M,2002.0
2,Lorenzo,8464.0,3.12,5.0,M,2002.0
27,Luca,6321.0,2.33,6.0,M,2002.0
3,Marco,5940.0,2.19,7.0,M,2002.0
53,Giorgia,4775.0,1.85,7.0,F,2002.0
28,Davide,5729.0,2.11,8.0,M,2002.0
54,Federica,4002.0,1.55,9.0,F,2002.0
79,Alice,3921.0,1.52,9.0,F,2002.0
4,Simone,5658.0,2.08,9.0,M,2002.0
29,Mattia,5587.0,2.06,10.0,M,2002.0
5,Gabriele,5371.0,1.98,11.0,M,2002.0
80,Gaia,3748.0,1.45,11.0,F,2002.0
52,Alessia,7472.0,2.89,5.0,F,2002.0
87,Silvia,1938.0,0.75,25.0,F,2002.0
62,Noemi,1961.0,0.76,25.0,F,2002.0
12,Stefano,2515.0,0.93,25.0,M,2002.0
94,Veronica,1334.0,0.52,39.0,F,2002.0
69,Serena,1363.0,0.53,39.0,F,2002.0
44,Domenico,1433.0,0.53,40.0,M,2002.0
95,Greta,1332.0,0.51,41.0,F,2002.0
70,Sabrina,1333.0,0.52,41.0,F,2002.0
20,Gianluca,1405.0,0.52,41.0,M,2002.0
45,Jacopo,1358.0,0.5,42.0,M,2002.0
71,Ludovica,1323.0,0.51,43.0,F,2002.0
21,Angelo,1283.0,0.47,43.0,M,2002.0
96,Angela,1296.0,0.5,43.0,F,2002.0
19,Alberto,1556.0,0.57,39.0,M,2002.0
46,Mario,1244.0,0.46,44.0,M,2002.0
97,Lucia,1194.0,0.46,45.0,F,2002.0
22,Enrico,1218.0,0.45,45.0,M,2002.0
47,Alex,1183.0,0.44,46.0,M,2002.0
73,Simona,1152.0,0.45,47.0,F,2002.0
98,Margherita,1078.0,0.42,47.0,F,2002.0
23,Raffaele,1179.0,0.43,47.0,M,2002.0
48,Francesco Pio,1171.0,0.43,48.0,M,2002.0
99,Angelica,1074.0,0.42,49.0,F,2002.0
24,Giorgio,1147.0,0.42,49.0,M,2002.0
74,Marika,1076.0,0.42,49.0,F,2002.0
72,Caterina,1209.0,0.47,45.0,F,2002.0
43,Paolo,1621.0,0.6,38.0,M,2002.0
49,Roberto,1122.0,0.41,50.0,M,2002.0
68,Valeria,1428.0,0.55,37.0,F,2002.0
93,Roberta,1422.0,0.55,37.0,F,2002.0
37,Pietro,2453.0,0.9,26.0,M,2002.0
63,Maria,1904.0,0.74,27.0,F,2002.0
13,Nicola,2373.0,0.87,27.0,M,2002.0
88,Camilla,1849.0,0.71,27.0,F,2002.0
38,Giacomo,2356.0,0.87,28.0,M,2002.0
64,Claudia,1819.0,0.7,29.0,F,2002.0
89,Irene,1751.0,0.68,29.0,F,2002.0
39,Salvatore,2348.0,0.86,30.0,M,2002.0
90,Nicole,1703.0,0.66,31.0,F,2002.0
65,Matilde,1730.0,0.67,31.0,F,2002.0
14,Christian,2354.0,0.87,29.0,M,2002.0
40,Nicolo,2315.0,0.85,32.0,M,2002.0
91,Rebecca,1582.0,0.61,33.0,F,2002.0
66,Benedetta,1662.0,0.64,33.0,F,2002.0
18,Cristian,1634.0,0.6,37.0,M,2002.0
16,Edoardo,2213.0,0.81,33.0,M,2002.0
41,Manuel,1920.0,0.71,34.0,M,2002.0
67,Asia,1536.0,0.59,35.0,F,2002.0
92,Michela,1478.0,0.57,35.0,F,2002.0
17,Luigi,1771.0,0.65,35.0,M,2002.0
42,Fabio,1747.0,0.64,36.0,M,2002.0
15,Vincenzo,2338.0,0.86,31.0,M,2002.0
83,Ilaria,2469.0,0.96,17.0,F,2003.0
58,Valentina,2563.0,0.99,17.0,F,2003.0
8,Giovanni,3870.0,1.42,17.0,M,2003.0
31,Federico,4527.0,1.66,14.0,M,2003.0
7,Antonio,4454.0,1.63,15.0,M,2003.0
57,Elena,2970.0,1.15,15.0,F,2003.0
82,Giada,2853.0,1.1,15.0,F,2003.0
33,Filippo,3791.0,1.39,18.0,M,2003.0
32,Alessio,4222.0,1.55,16.0,M,2003.0
59,Beatrice,2408.0,0.93,19.0,F,2003.0
36,Emanuele,2623.0,0.96,24.0,M,2003.0
84,Eleonora,2314.0,0.9,19.0,F,2003.0
34,Daniele,3481.0,1.28,20.0,M,2003.0
10,Samuele,3386.0,1.24,21.0,M,2003.0
85,Noemi,2071.0,0.8,21.0,F,2003.0
60,Arianna,2180.0,0.84,21.0,F,2003.0
35,Michele,3206.0,1.17,22.0,M,2003.0
11,Tommaso,3017.0,1.11,23.0,M,2003.0
86,Laura,2011.0,0.78,23.0,F,2003.0
61,Marta,2020.0,0.78,23.0,F,2003.0
56,Elisa,3503.0,1.36,13.0,F,2003.0
9,Leonardo,3663.0,1.34,19.0,M,2003.0
81,Gaia,3350.0,1.3,13.0,F,2003.0
78,Alice,4802.0,1.86,7.0,F,2003.0
55,Federica,3525.0,1.36,11.0,F,2003.0
87,Camilla,1942.0,0.75,25.0,F,2003.0
0,Francesco,10368.0,3.8,1.0,M,2003.0
50,Giulia,11148.0,4.32,1.0,F,2003.0
75,Martina,8993.0,3.48,1.0,F,2003.0
25,Andrea,9475.0,3.47,2.0,M,2003.0
76,Sara,7468.0,2.89,3.0,F,2003.0
51,Chiara,7534.0,2.92,3.0,F,2003.0
1,Alessandro,9124.0,3.34,3.0,M,2003.0
26,Matteo,8533.0,3.13,4.0,M,2003.0
77,Francesca,6025.0,2.33,5.0,F,2003.0
30,Giuseppe,4968.0,1.82,12.0,M,2003.0
2,Lorenzo,7923.0,2.9,5.0,M,2003.0
27,Luca,6996.0,2.56,6.0,M,2003.0
3,Mattia,6044.0,2.21,7.0,M,2003.0
53,Giorgia,5578.0,2.16,7.0,F,2003.0
28,Gabriele,5984.0,2.19,8.0,M,2003.0
54,Sofia,4701.0,1.82,9.0,F,2003.0
79,Aurora,3770.0,1.46,9.0,F,2003.0
4,Davide,5886.0,2.16,9.0,M,2003.0
29,Marco,5718.0,2.09,10.0,M,2003.0
5,Simone,5290.0,1.94,11.0,M,2003.0
80,Anna,3517.0,1.36,11.0,F,2003.0
52,Alessia,6777.0,2.62,5.0,F,2003.0
62,Alessandra,2002.0,0.78,25.0,F,2003.0
6,Riccardo,4869.0,1.78,13.0,M,2003.0
37,Nicolo,2520.0,0.92,26.0,M,2003.0
94,Valeria,1329.0,0.51,39.0,F,2003.0
69,Marika,1432.0,0.55,39.0,F,2003.0
44,Cristian,1496.0,0.55,40.0,M,2003.0
95,Ludovica,1298.0,0.5,41.0,F,2003.0
70,Greta,1323.0,0.51,41.0,F,2003.0
20,Domenico,1453.0,0.53,41.0,M,2003.0
45,Gianluca,1369.0,0.5,42.0,M,2003.0
71,Veronica,1287.0,0.5,43.0,F,2003.0
21,Angelo,1352.0,0.5,43.0,M,2003.0
46,Mario,1273.0,0.47,44.0,M,2003.0
19,Alberto,1521.0,0.56,39.0,M,2003.0
72,Angela,1225.0,0.47,45.0,F,2003.0
22,Giorgio,1224.0,0.45,45.0,M,2003.0
47,Raffaele,1172.0,0.43,46.0,M,2003.0
73,Caterina,1199.0,0.46,47.0,F,2003.0
98,Margherita,1152.0,0.45,47.0,F,2003.0
23,Enrico,1164.0,0.43,47.0,M,2003.0
48,Alex,1116.0,0.41,48.0,M,2003.0
99,Vittoria,1142.0,0.44,49.0,F,2003.0
24,Diego,1106.0,0.41,49.0,M,2003.0
74,Emma,1148.0,0.44,49.0,F,2003.0
49,Niccolo,1092.0,0.4,50.0,M,2003.0
97,Lucia,1207.0,0.47,45.0,F,2003.0
43,Paolo,1637.0,0.6,38.0,M,2003.0
96,Roberta,1265.0,0.49,43.0,F,2003.0
93,Serena,1435.0,0.56,37.0,F,2003.0
63,Maria,1921.0,0.74,27.0,F,2003.0
12,Pietro,2593.0,0.95,25.0,M,2003.0
13,Edoardo,2437.0,0.89,27.0,M,2003.0
88,Rebecca,1901.0,0.74,27.0,F,2003.0
38,Stefano,2422.0,0.89,28.0,M,2003.0
64,Silvia,1845.0,0.71,29.0,F,2003.0
14,Giacomo,2354.0,0.86,29.0,M,2003.0
89,Matilde,1807.0,0.7,29.0,F,2003.0
90,Irene,1699.0,0.66,31.0,F,2003.0
65,Claudia,1720.0,0.67,31.0,F,2003.0
15,Nicola,2337.0,0.86,31.0,M,2003.0
39,Vincenzo,2338.0,0.86,30.0,M,2003.0
91,Erika,1554.0,0.6,33.0,F,2003.0
68,Michela,1439.0,0.56,37.0,F,2003.0
40,Salvatore,2252.0,0.82,32.0,M,2003.0
42,Luigi,1780.0,0.65,36.0,M,2003.0
17,Manuel,1880.0,0.69,35.0,M,2003.0
92,Nicole,1532.0,0.59,35.0,F,2003.0
18,Fabio,1674.0,0.61,37.0,M,2003.0
41,Jacopo,2091.0,0.77,34.0,M,2003.0
16,Christian,2236.0,0.82,33.0,M,2003.0
66,Asia,1691.0,0.65,33.0,F,2003.0
67,Benedetta,1549.0,0.6,35.0,F,2003.0
83,Valentina,2476.0,0.92,17.0,F,2004.0
56,Giada,3530.0,1.31,13.0,F,2004.0
31,Tommaso,4728.0,1.66,14.0,M,2004.0
82,Elena,2913.0,1.08,15.0,F,2004.0
57,Federica,3209.0,1.19,15.0,F,2004.0
7,Antonio,4371.0,1.54,15.0,M,2004.0
32,Alessio,4245.0,1.49,16.0,M,2004.0
8,Federico,4216.0,1.48,17.0,M,2004.0
58,Alessandra,2643.0,0.98,17.0,F,2004.0
33,Giovanni,3925.0,1.38,18.0,M,2004.0
61,Noemi,2141.0,0.79,23.0,F,2004.0
9,Leonardo,3598.0,1.27,19.0,M,2004.0
84,Beatrice,2418.0,0.9,19.0,F,2004.0
34,Filippo,3577.0,1.26,20.0,M,2004.0
